A0_KR, A0_KD, A0_MVP, A0_T_KR, A0_T_KD, A0_T_MVP, A0_E_KR, A0_E_KD, A0_E_MVP, A1_KR, A1_KD, A1_MVP, A1_T_KR, A1_T_KD, A1_T_MVP, A1_E_KR, A1_E_KD, A1_E_MVP, A2_KR, A2_KD, A2_MVP, A2_T_KR, A2_T_KD, A2_T_MVP, A2_E_KR, A2_E_KD, A2_E_MVP, A3_KR, A3_KD, A3_MVP, A3_T_KR, A3_T_KD, A3_T_MVP, A3_E_KR, A3_E_KD, A3_E_MVP, A4_KR, A4_KD, A4_MVP, A4_T_KR, A4_T_KD, A4_T_MVP, A4_E_KR, A4_E_KD, A4_E_MVP, B0_KR, B0_KD, B0_MVP, B0_T_KR, B0_T_KD, B0_T_MVP, B0_E_KR, B0_E_KD, B0_E_MVP, B1_KR, B1_KD, B1_MVP, B1_T_KR, B1_T_KD, B1_T_MVP, B1_E_KR, B1_E_KD, B1_E_MVP, B2_KR, B2_KD, B2_MVP, B2_T_KR, B2_T_KD, B2_T_MVP, B2_E_KR, B2_E_KD, B2_E_MVP, B3_KR, B3_KD, B3_MVP, B3_T_KR, B3_T_KD, B3_T_MVP, B3_E_KR, B3_E_KD, B3_E_MVP, B4_KR, B4_KD, B4_MVP, B4_T_KR, B4_T_KD, B4_T_MVP, B4_E_KR, B4_E_KD, B4_E_MVP
1.729500, 1.143500, 4.250000, 1.015700, 0.707500, 3.988000, 1.069120, 0.718500, 3.980001, 1.768000, 1.130000, 5.650000, 1.034300, 0.719860, 4.074000, 1.077300, 0.729040, 4.076003, 0.874000, 0.687000, 4.350000, 0.992320, 0.708500, 4.240000, 1.052801, 0.723800, 3.968000, 1.685500, 1.130000, 6.050000, 1.033119, 0.731900, 4.302001, 1.041880, 0.733500, 4.128001, 1.446500, 0.989000, 7.550000, 1.024840, 0.711760, 4.042000, 1.061280, 0.716340, 4.046002, 0.904500, 0.570500, 2.700000, 1.097340, 0.725160, 3.447997, 1.018660, 0.693940, 3.582000, 1.127000, 0.763000, 4.150000, 1.026860, 0.708580, 3.642002, 1.086120, 0.719820, 3.668001, 1.072000, 0.753000, 3.450000, 1.074120, 0.735520, 4.016000, 1.004179, 0.713380, 4.013999, 0.520000, 0.403500, 1.900000, 1.074440, 0.728200, 3.794000, 1.025560, 0.707000, 3.695999, 1.053500, 0.727500, 4.600000, 1.064000, 0.724140, 3.795999, 1.017000, 0.710160, 3.824000
1.666500, 1.126000, 5.750000, 1.087961, 0.727280, 3.740000, 1.019940, 0.711520, 3.619999, 1.526000, 1.014000, 4.450000, 1.028920, 0.686080, 3.527999, 0.929020, 0.656040, 3.555999, 0.361000, 0.247500, 1.200000, 0.998641, 0.688880, 3.756001, 1.082761, 0.720920, 3.874000, 0.917500, 0.625500, 5.850000, 1.015840, 0.697480, 3.757999, 1.075260, 0.715720, 4.152000, 1.401000, 0.845500, 3.550000, 0.922421, 0.569800, 3.234000, 0.835540, 0.553900, 3.135999, 0.753500, 0.564000, 2.550000, 1.077399, 0.718460, 4.198001, 0.975640, 0.695580, 3.802000, 2.010000, 1.404000, 7.650000, 1.037580, 0.714020, 4.237998, 0.989119, 0.696920, 4.062000, 1.221500, 0.834500, 5.300000, 1.004460, 0.702460, 4.309999, 1.034440, 0.716240, 4.349999, 1.342000, 0.912500, 4.550000, 0.966360, 0.692400, 3.838000, 1.062040, 0.718700, 4.038002, 1.410500, 0.914000, 4.650000, 1.100900, 0.728100, 3.454000, 1.011800, 0.709900, 3.796000
1.283000, 0.931500, 5.100000, 1.091400, 0.729500, 3.804000, 1.023200, 0.716000, 4.075997, 1.149000, 0.631500, 3.400000, 1.088180, 0.707800, 3.564000, 1.112920, 0.715300, 3.436001, 0.896000, 0.618500, 4.400000, 1.062940, 0.700480, 3.652001, 0.985580, 0.676760, 3.496002, 0.883500, 0.612500, 4.400000, 0.971340, 0.682100, 4.113997, 1.050660, 0.705200, 4.260000, 1.140500, 0.716000, 2.850000, 0.995560, 0.676680, 3.780001, 1.054640, 0.701160, 3.526000, 1.411000, 0.937500, 3.450000, 1.034480, 0.706460, 3.814000, 1.063720, 0.715840, 3.776001, 1.210500, 0.718000, 4.100000, 0.996980, 0.667120, 3.268000, 1.131160, 0.712180, 3.399998, 1.252000, 0.848500, 4.450000, 1.062320, 0.722340, 3.958001, 0.978300, 0.690080, 3.526000, 1.330500, 0.901500, 4.450000, 0.966360, 0.692400, 3.838000, 1.062040, 0.718700, 4.038002, 1.393500, 0.908000, 4.850000, 1.100900, 0.728100, 3.454000, 1.011800, 0.709900, 3.796000
1.169000, 0.892000, 5.200000, 1.047700, 0.689420, 3.578002, 1.020360, 0.688280, 3.424000, 0.810500, 0.552500, 3.600000, 0.951500, 0.646460, 3.414000, 0.963800, 0.645140, 3.475999, 1.114000, 0.777500, 4.850000, 1.031340, 0.709360, 4.042001, 1.104960, 0.731940, 3.998002, 0.917000, 0.536500, 1.850000, 0.951800, 0.676660, 3.520001, 1.080240, 0.715240, 3.812001, 1.071000, 0.798000, 4.800000, 1.014560, 0.689740, 3.684000, 1.027880, 0.690160, 3.728001, 0.698500, 0.543000, 2.500000, 1.077399, 0.718460, 4.198001, 0.975640, 0.695580, 3.802000, 0.682000, 0.513000, 4.100000, 0.964840, 0.690800, 3.705999, 1.064300, 0.721100, 4.239999, 1.493000, 1.050500, 5.150000, 0.958640, 0.692640, 4.173998, 1.086860, 0.736460, 3.945999, 1.153000, 0.786000, 4.200000, 0.942260, 0.676740, 3.997999, 1.089840, 0.723940, 3.739999, 1.320500, 0.853000, 4.300000, 0.923340, 0.656280, 4.081998, 0.991000, 0.671900, 3.597998
0.974500, 0.642500, 3.400000, 0.971940, 0.678380, 3.858000, 1.095460, 0.732920, 4.311999, 0.419000, 0.289500, 2.550000, 1.011460, 0.703460, 3.974000, 1.079040, 0.730040, 4.196000, 1.081500, 0.753500, 4.400000, 1.120320, 0.750220, 3.870000, 0.969680, 0.700880, 3.910001, 1.160000, 0.803500, 5.050000, 1.045080, 0.723660, 3.730000, 1.028420, 0.722040, 4.100000, 1.160500, 0.828500, 5.050000, 1.047660, 0.690340, 3.453999, 1.093740, 0.716600, 3.740000, 1.418500, 0.926500, 4.600000, 1.100900, 0.728100, 3.454000, 1.011800, 0.709900, 3.796000, 1.089000, 0.736500, 3.850000, 1.126000, 0.715960, 3.368001, 0.964780, 0.674100, 3.404000, 1.695500, 0.866500, 4.200000, 1.020480, 0.697080, 3.526000, 1.053340, 0.703960, 3.580000, 1.277500, 0.891000, 7.000000, 1.070600, 0.729360, 3.849997, 1.022900, 0.716640, 3.950000, 0.035000, 0.031500, 0.300000, 1.008000, 0.708620, 3.401999, 1.040420, 0.710020, 3.613999
1.231500, 0.922500, 4.600000, 1.093040, 0.722960, 4.042001, 0.983220, 0.689640, 3.930001, 0.763500, 0.554500, 3.500000, 1.059500, 0.713640, 3.959999, 1.031760, 0.699760, 3.762000, 1.051500, 0.775500, 6.500000, 1.023320, 0.709800, 3.993999, 1.052240, 0.714200, 4.347999, 0.814500, 0.568500, 3.350000, 1.015840, 0.702120, 4.033999, 1.067020, 0.714180, 4.367997, 1.518000, 1.102000, 6.800000, 1.027220, 0.700740, 3.766000, 1.033180, 0.700760, 3.977999, 1.242500, 0.660000, 3.200000, 0.956860, 0.678360, 4.038000, 1.080380, 0.712100, 4.140001, 0.922500, 0.594000, 3.250000, 1.014440, 0.705000, 3.730000, 1.095860, 0.731400, 4.020000, 0.432000, 0.299500, 2.850000, 1.011460, 0.703460, 3.974000, 1.079040, 0.730040, 4.196000, 1.545000, 0.914500, 3.600000, 1.026721, 0.705000, 3.829999, 1.064180, 0.721100, 4.079999, 0.972000, 0.636500, 3.500000, 0.971940, 0.678380, 3.858000, 1.095460, 0.732920, 4.311999
0.874000, 0.638500, 3.850000, 1.137800, 0.733120, 3.375999, 0.993300, 0.697480, 3.723999, 1.494500, 1.070500, 6.300000, 1.047820, 0.721200, 3.732000, 1.039079, 0.720100, 3.858000, 0.746500, 0.493000, 1.950000, 0.930440, 0.673420, 3.620000, 1.151460, 0.745380, 3.430001, 1.238000, 0.929500, 4.300000, 1.093040, 0.722960, 4.042001, 0.983220, 0.689640, 3.930001, 0.852000, 0.583500, 3.600000, 0.991140, 0.689240, 3.567998, 1.147760, 0.745860, 3.912001, 0.699500, 0.533500, 1.900000, 1.054220, 0.702680, 3.502002, 1.041080, 0.701220, 4.018001, 1.020000, 0.743500, 4.200000, 1.070520, 0.720340, 3.797999, 1.037880, 0.708860, 3.321999, 1.015000, 0.722500, 4.600000, 1.009180, 0.688780, 3.842001, 1.043620, 0.701360, 3.776000, 1.278000, 0.831500, 4.500000, 1.028180, 0.707080, 4.052001, 1.014520, 0.703320, 4.002000, 1.152000, 0.704000, 3.550000, 1.165100, 0.661680, 3.275999, 1.083260, 0.684060, 3.505999
1.204000, 0.784000, 6.200000, 1.045700, 0.713980, 4.068000, 1.058200, 0.717920, 3.912003, 1.001500, 0.676500, 4.050000, 1.067219, 0.715880, 3.957999, 1.041180, 0.706420, 3.922001, 1.333500, 0.939500, 4.100000, 1.040980, 0.704680, 3.844000, 1.075820, 0.715220, 3.836002, 1.176000, 0.783000, 4.750000, 0.991660, 0.687380, 3.618001, 1.139240, 0.739520, 4.362000, 1.629500, 1.052000, 4.650000, 1.057279, 0.713260, 3.999999, 1.032020, 0.702240, 3.810001, 1.225000, 0.919500, 4.250000, 1.093040, 0.722960, 4.042001, 0.983220, 0.689640, 3.930001, 0.729000, 0.537000, 3.500000, 1.059500, 0.713640, 3.959999, 1.031760, 0.699760, 3.762000, 0.845500, 0.587000, 3.750000, 0.991140, 0.689240, 3.567998, 1.147760, 0.745860, 3.912001, 0.967500, 0.678000, 2.500000, 1.019180, 0.708780, 3.673999, 1.111920, 0.744220, 3.896000, 0.812000, 0.570000, 2.950000, 1.015840, 0.702120, 4.033999, 1.067020, 0.714180, 4.367997
0.561500, 0.404000, 2.550000, 1.108820, 0.721580, 3.930002, 0.938980, 0.666100, 3.592000, 0.912000, 0.684500, 2.300000, 1.033940, 0.697060, 3.814001, 0.924481, 0.660440, 3.498000, 1.239500, 0.923500, 4.250000, 1.093040, 0.722960, 4.042001, 0.983220, 0.689640, 3.930001, 0.758500, 0.561500, 4.450000, 1.150679, 0.740120, 3.614001, 0.977720, 0.683380, 3.385999, 0.879000, 0.604000, 3.900000, 0.991140, 0.689240, 3.567998, 1.147760, 0.745860, 3.912001, 1.436000, 0.853000, 4.250000, 1.000000, 0.701200, 3.972001, 1.085500, 0.732300, 3.977998, 1.178000, 0.722500, 5.750000, 0.999040, 0.699920, 4.330000, 1.051160, 0.717020, 4.342000, 1.093500, 0.717500, 3.250000, 1.215599, 0.716320, 3.697999, 0.970000, 0.676780, 3.602000, 1.172000, 0.847000, 5.150000, 1.008800, 0.697920, 3.904002, 1.030000, 0.706940, 3.896000, 1.409500, 0.904500, 3.550000, 0.974100, 0.686000, 3.841999, 1.028260, 0.702540, 3.816000
1.098000, 0.736000, 3.100000, 1.053680, 0.715440, 3.546000, 1.035020, 0.711660, 3.544002, 1.269500, 0.876500, 4.900000, 0.963240, 0.690560, 3.717999, 1.096160, 0.738340, 4.211999, 0.881000, 0.616500, 4.400000, 1.062799, 0.696280, 3.695998, 0.920900, 0.649820, 3.394000, 1.696000, 1.016500, 6.150000, 1.089820, 0.696360, 3.605999, 1.008800, 0.669780, 3.665999, 1.234000, 0.800000, 6.550000, 0.973300, 0.687240, 3.720000, 1.123700, 0.736661, 3.779999, 0.973500, 0.681000, 2.550000, 1.019180, 0.708780, 3.673999, 1.111920, 0.744220, 3.896000, 1.225000, 0.916000, 4.300000, 1.093040, 0.722960, 4.042001, 0.983220, 0.689640, 3.930001, 1.454000, 0.819000, 3.550000, 1.024680, 0.691420, 3.972001, 1.061080, 0.700880, 3.508001, 0.898000, 0.671000, 2.800000, 1.017980, 0.708560, 3.232000, 1.058080, 0.721000, 3.522001, 0.753500, 0.558000, 3.600000, 1.028120, 0.705480, 4.053998, 1.040280, 0.709620, 3.935999
