PA0_Kills, PA0_A_Kills, PA0_Assists, PA0_A_Assists, PA0_Deaths, PA0_A_Deaths, PA0_HSPercent, PA0_A_HSPercent, PA0_KillPerRound, PA0_A_KillDeathRating, PA0_KillPerRound, PA0_A_KillDeathRating, PA1_Kills, PA1_A_Kills, PA1_Assists, PA1_A_Assists, PA1_Deaths, PA1_A_Deaths, PA1_HSPercent, PA1_A_HSPercent, PA1_KillPerRound, PA1_A_KillDeathRating, PA1_KillPerRound, PA1_A_KillDeathRating, PA2_Kills, PA2_A_Kills, PA2_Assists, PA2_A_Assists, PA2_Deaths, PA2_A_Deaths, PA2_HSPercent, PA2_A_HSPercent, PA2_KillPerRound, PA2_A_KillDeathRating, PA2_KillPerRound, PA2_A_KillDeathRating, PA3_Kills, PA3_A_Kills, PA3_Assists, PA3_A_Assists, PA3_Deaths, PA3_A_Deaths, PA3_HSPercent, PA3_A_HSPercent, PA3_KillPerRound, PA3_A_KillDeathRating, PA3_KillPerRound, PA3_A_KillDeathRating, PA4_Kills, PA4_A_Kills, PA4_Assists, PA4_A_Assists, PA4_Deaths, PA4_A_Deaths, PA4_HSPercent, PA4_A_HSPercent, PA4_KillPerRound, PA4_A_KillDeathRating, PA4_KillPerRound, PA4_A_KillDeathRating, PB0_Kills, PB0_A_Kills, PB0_Assists, PB0_A_Assists, PB0_Deaths, PB0_A_Deaths, PB0_HSPercent, PB0_A_HSPercent, PB0_KillPerRound, PB0_A_KillDeathRating, PB0_KillPerRound, PB0_A_KillDeathRating, PB1_Kills, PB1_A_Kills, PB1_Assists, PB1_A_Assists, PB1_Deaths, PB1_A_Deaths, PB1_HSPercent, PB1_A_HSPercent, PB1_KillPerRound, PB1_A_KillDeathRating, PB1_KillPerRound, PB1_A_KillDeathRating, PB2_Kills, PB2_A_Kills, PB2_Assists, PB2_A_Assists, PB2_Deaths, PB2_A_Deaths, PB2_HSPercent, PB2_A_HSPercent, PB2_KillPerRound, PB2_A_KillDeathRating, PB2_KillPerRound, PB2_A_KillDeathRating, PB3_Kills, PB3_A_Kills, PB3_Assists, PB3_A_Assists, PB3_Deaths, PB3_A_Deaths, PB3_HSPercent, PB3_A_HSPercent, PB3_KillPerRound, PB3_A_KillDeathRating, PB3_KillPerRound, PB3_A_KillDeathRating, PB4_Kills, PB4_A_Kills, PB4_Assists, PB4_A_Assists, PB4_Deaths, PB4_A_Deaths, PB4_HSPercent, PB4_A_HSPercent, PB4_KillPerRound, PB4_A_KillDeathRating, PB4_KillPerRound, PB4_A_KillDeathRating
31, 20, 4, 4, 27, 20, 55, 43, 1.143500, 1.729500, 0.719600, 1.051900, 28, 19, 5, 4, 27, 19, 76, 44, 1.041000, 1.664000, 0.724400, 1.055850, 18, 20, 3, 4, 24, 20, 53, 42, 0.616000, 0.797000, 0.722600, 1.032600, 29, 19, 5, 4, 24, 20, 51, 42, 1.034000, 1.562500, 0.728600, 1.049000, 27, 20, 7, 4, 29, 20, 56, 43, 1.028000, 1.492500, 0.719600, 1.051900, 14, 18, 2, 3, 13, 18, 40, 40, 0.570500, 0.904500, 0.709550, 1.058000, 21, 18, 4, 3, 21, 18, 42, 40, 0.838000, 1.294000, 0.722200, 1.072950, 20, 20, 3, 3, 18, 20, 34, 39, 0.753000, 1.072000, 0.722500, 1.039900, 10, 19, 1, 3, 11, 19, 17, 40, 0.403500, 0.520000, 0.718150, 1.050400, 22, 19, 4, 3, 22, 19, 51, 39, 0.812500, 1.169500, 0.716100, 1.041400 
24, 19, 5, 3, 26, 19, 43, 44, 0.921000, 1.344500, 0.722450, 1.045700, 25, 19, 5, 3, 21, 19, 42, 43, 0.958000, 1.445000, 0.717850, 1.048000, 7, 18, 1, 3, 5, 19, 11, 42, 0.247500, 0.361000, 0.704900, 1.040700, 16, 19, 5, 3, 24, 19, 39, 41, 0.608500, 0.865500, 0.705900, 1.044100, 27, 16, 3, 3, 27, 16, 71, 37, 0.927500, 1.501000, 0.580950, 0.911250, 10, 18, 2, 3, 13, 18, 25, 42, 0.396000, 0.528500, 0.711450, 1.035400, 42, 20, 7, 4, 31, 20, 71, 41, 1.404000, 2.010000, 0.712350, 1.022550, 25, 21, 5, 4, 24, 21, 44, 41, 0.834500, 1.221500, 0.709350, 1.019450, 23, 19, 3, 3, 23, 19, 38, 43, 0.892500, 1.208000, 0.716600, 1.041300, 23, 19, 4, 3, 25, 19, 58, 43, 0.847000, 1.281500, 0.715350, 1.077100 
20, 19, 4, 3, 17, 19, 36, 43, 0.771500, 1.070000, 0.720700, 1.068850, 13, 17, 2, 3, 12, 17, 30, 43, 0.551500, 1.104000, 0.706350, 1.111000, 16, 18, 4, 3, 17, 18, 36, 44, 0.618500, 0.896000, 0.701200, 1.042850, 18, 19, 4, 4, 20, 19, 59, 43, 0.667500, 0.964500, 0.700500, 1.042850, 20, 19, 2, 3, 24, 19, 49, 42, 0.716000, 1.140500, 0.695150, 1.034150, 27, 20, 3, 3, 22, 20, 49, 42, 0.937500, 1.411000, 0.711150, 1.049100, 19, 18, 4, 3, 21, 18, 51, 42, 0.718000, 1.210500, 0.696650, 1.074900, 23, 19, 4, 3, 22, 20, 45, 43, 0.848500, 1.252000, 0.712850, 1.029850, 23, 19, 3, 3, 23, 19, 38, 43, 0.881500, 1.196500, 0.716600, 1.041300, 23, 19, 4, 3, 26, 19, 60, 43, 0.841000, 1.264500, 0.715350, 1.077100 
24, 17, 5, 3, 26, 17, 59, 43, 0.962000, 1.269000, 0.700900, 1.067600, 17, 18, 3, 3, 17, 18, 32, 40, 0.656500, 0.985500, 0.688200, 1.022700, 19, 18, 4, 4, 15, 18, 35, 40, 0.777500, 1.114000, 0.720650, 1.068150, 16, 20, 1, 3, 13, 20, 26, 42, 0.536500, 0.917000, 0.709100, 1.034950, 19, 20, 4, 3, 19, 20, 45, 43, 0.699000, 0.954000, 0.705550, 1.045450, 10, 18, 2, 3, 14, 18, 25, 42, 0.375000, 0.473500, 0.711450, 1.035400, 15, 20, 3, 4, 18, 20, 28, 40, 0.470000, 0.627000, 0.701250, 1.014750, 29, 20, 5, 4, 27, 20, 64, 41, 1.031500, 1.471000, 0.708700, 1.009350, 28, 18, 4, 3, 23, 18, 47, 41, 1.098000, 1.556000, 0.706450, 1.046000, 24, 20, 3, 4, 23, 20, 41, 40, 0.826000, 1.306500, 0.702650, 1.007600 
17, 19, 3, 4, 15, 19, 36, 42, 0.642500, 0.974500, 0.705650, 1.033700, 7, 20, 2, 4, 10, 20, 17, 42, 0.289500, 0.419000, 0.716750, 1.045250, 18, 19, 2, 3, 17, 19, 42, 45, 0.638500, 0.923500, 0.722950, 1.035450, 18, 20, 3, 3, 19, 20, 47, 44, 0.662500, 0.905000, 0.716000, 1.027900, 21, 18, 5, 3, 23, 18, 59, 43, 0.828500, 1.160500, 0.715650, 1.121700, 24, 19, 4, 3, 26, 19, 60, 43, 0.859500, 1.289500, 0.715350, 1.077100, 27, 19, 5, 3, 26, 19, 50, 42, 0.956500, 1.509000, 0.709150, 1.058000, 24, 19, 4, 3, 20, 19, 57, 44, 0.866500, 1.695500, 0.707300, 1.046450, 23, 19, 6, 3, 23, 19, 47, 43, 0.885000, 1.281500, 0.719300, 1.048800, 0, 19, 0, 3, 1, 19, 1, 45, 0.031500, 0.035000, 0.716100, 1.033750 
29, 20, 4, 4, 29, 20, 54, 44, 0.922500, 1.231500, 0.713200, 1.049400, 18, 19, 3, 3, 19, 19, 19, 41, 0.554500, 0.763500, 0.713600, 1.056900, 23, 20, 6, 4, 28, 20, 40, 40, 0.775500, 1.051500, 0.718900, 1.049050, 19, 20, 3, 4, 17, 20, 34, 41, 0.568500, 0.814500, 0.715050, 1.052700, 38, 19, 7, 3, 34, 19, 77, 41, 1.330000, 1.872000, 0.709650, 1.043650, 22, 20, 3, 4, 15, 20, 30, 42, 0.774000, 1.468500, 0.709750, 1.043150, 19, 20, 3, 3, 20, 20, 44, 44, 0.709000, 1.085500, 0.717200, 1.053600, 8, 20, 2, 4, 10, 20, 16, 42, 0.299500, 0.432000, 0.716750, 1.045250, 23, 20, 3, 3, 16, 20, 50, 42, 0.850500, 1.455000, 0.714250, 1.042500, 17, 19, 3, 4, 16, 19, 37, 42, 0.636500, 0.972000, 0.705650, 1.033700 
18, 18, 4, 3, 22, 18, 72, 46, 0.698500, 0.956000, 0.713950, 1.064500, 27, 20, 5, 3, 27, 20, 63, 46, 0.944500, 1.250500, 0.713650, 1.030000, 15, 20, 3, 3, 18, 20, 41, 44, 0.564000, 0.864500, 0.710550, 1.026150, 28, 20, 4, 4, 28, 20, 53, 44, 0.929500, 1.238000, 0.713200, 1.049400, 15, 20, 3, 4, 18, 20, 35, 44, 0.530500, 0.711000, 0.721500, 1.042000, 15, 19, 1, 3, 18, 19, 41, 44, 0.533500, 0.699500, 0.701950, 1.047650, 20, 19, 4, 3, 22, 19, 55, 47, 0.743500, 1.020000, 0.714600, 1.054200, 18, 20, 4, 3, 18, 20, 48, 44, 0.722500, 1.015000, 0.708750, 1.049050, 20, 20, 4, 3, 18, 20, 31, 44, 0.767500, 1.194000, 0.712650, 1.037500, 17, 17, 3, 3, 17, 17, 37, 38, 0.704000, 1.152000, 0.696600, 1.207450 
17, 20, 5, 3, 20, 20, 37, 42, 0.585000, 0.817000, 0.712050, 1.028650, 18, 19, 4, 3, 17, 19, 35, 43, 0.666500, 1.036500, 0.711450, 1.032900, 21, 19, 2, 3, 19, 19, 35, 42, 0.768500, 1.131500, 0.707200, 1.037200, 25, 19, 4, 3, 22, 19, 51, 43, 0.878000, 1.370000, 0.708650, 1.042350, 26, 19, 3, 3, 19, 19, 48, 42, 0.852000, 1.251500, 0.700300, 1.075100, 28, 20, 4, 4, 28, 20, 54, 44, 0.919500, 1.225000, 0.713200, 1.049400, 16, 19, 3, 3, 19, 19, 19, 41, 0.537000, 0.729000, 0.713600, 1.056900, 15, 20, 3, 4, 18, 20, 34, 44, 0.534000, 0.704500, 0.721500, 1.042000, 20, 19, 3, 3, 18, 19, 46, 44, 0.819000, 1.243500, 0.723000, 1.050400, 18, 20, 2, 4, 16, 20, 35, 41, 0.570000, 0.812000, 0.715050, 1.052700 
12, 19, 3, 3, 14, 19, 39, 42, 0.469000, 0.645500, 0.711000, 1.041350, 20, 20, 2, 4, 22, 20, 56, 44, 0.715500, 0.933000, 0.717000, 1.029850, 28, 20, 4, 4, 28, 20, 54, 44, 0.923500, 1.239500, 0.713200, 1.049400, 13, 17, 4, 3, 21, 18, 32, 44, 0.561500, 0.758500, 0.711750, 1.064200, 15, 20, 3, 4, 18, 20, 34, 44, 0.551000, 0.738000, 0.721500, 1.042000, 26, 20, 4, 3, 22, 20, 48, 44, 0.918000, 1.515000, 0.719900, 1.046150, 22, 21, 5, 4, 19, 21, 40, 43, 0.722500, 1.178000, 0.714600, 1.034550, 18, 18, 3, 3, 17, 18, 43, 45, 0.717500, 1.093500, 0.696550, 1.092800, 21, 20, 4, 4, 21, 20, 40, 45, 0.699000, 0.971000, 0.714800, 1.022850, 27, 20, 3, 3, 22, 20, 63, 43, 0.940500, 1.480500, 0.709750, 1.021700 
20, 19, 3, 3, 21, 19, 46, 45, 0.736000, 1.098000, 0.713550, 1.044350, 29, 20, 6, 3, 25, 20, 60, 46, 1.050500, 1.567500, 0.710700, 1.030500, 16, 17, 4, 3, 20, 17, 60, 44, 0.622500, 0.887000, 0.674650, 1.001150, 30, 19, 6, 3, 26, 19, 47, 43, 1.016500, 1.696000, 0.696050, 1.070400, 21, 19, 6, 3, 21, 19, 57, 44, 0.800000, 1.234000, 0.711950, 1.048500, 20, 19, 3, 3, 18, 19, 46, 44, 0.822000, 1.249500, 0.723000, 1.050400, 28, 20, 4, 4, 28, 20, 54, 44, 0.916000, 1.225000, 0.713200, 1.049400, 20, 19, 3, 3, 20, 19, 50, 43, 0.736000, 1.079000, 0.704550, 1.038200, 16, 19, 2, 3, 15, 19, 33, 45, 0.621000, 0.850000, 0.718400, 1.041700, 17, 18, 4, 3, 18, 18, 29, 44, 0.619000, 0.811500, 0.711950, 1.066000 
